# Summit Meadow (1052)
# California  SNOTEL Site - 9313 ft
# Daily Data for Period of Record
#
# (As of: Sun Jun 21 08:36:24 PDT 2015)
#  **Provisional data, subject to revision**
#
Date,Snow Water Equivalent (in),Precipitation Accumulation (in),Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF),Precipitation Increment (in)
2003-09-22,,1.0,268,4917,4917,
2003-09-23,,0.0,71,50,58,0.00
2003-09-24,,0.0,68,50,58,0.00
2003-09-25,,0.0,66,49,56,0.00
2003-09-26,,0.0,69,48,56,0.00
2003-09-27,,0.0,71,50,58,0.00
2003-09-28,,0.0,70,51,59,0.00
2003-09-29,,0.0,60,49,53,0.00
2003-09-30,,0.0,62,47,53,40.40
2003-10-01,0.0,0.0,61,45,51,0.00
2003-10-02,0.0,0.0,59,40,47,0.00
2003-10-03,0.0,0.0,56,39,46,0.00
2003-10-04,0.0,0.0,59,42,49,0.00
2003-10-05,0.0,0.0,58,42,48,0.00
2003-10-06,0.0,0.0,62,44,50,0.00
2003-10-07,0.0,0.0,62,44,52,0.00
2003-10-08,0.0,0.0,63,47,54,0.00
2003-10-09,0.0,0.0,60,44,52,0.00
2003-10-10,0.0,0.0,48,31,40,0.00
2003-10-11,0.0,0.0,61,40,50,0.00
2003-10-12,0.0,0.0,61,36,48,0.00
2003-10-13,0.0,0.0,60,31,44,0.00
2003-10-14,0.0,0.0,58,43,49,0.00
2003-10-15,0.0,0.0,57,41,48,0.00
2003-10-16,0.0,0.0,63,40,50,0.00
2003-10-17,0.0,0.0,66,44,53,0.00
2003-10-18,0.0,0.0,60,44,50,0.00
2003-10-19,0.0,0.0,63,46,52,0.00
2003-10-20,0.0,0.0,67,47,54,0.00
2003-10-21,0.0,0.0,70,48,55,0.00
2003-10-22,0.0,0.0,62,45,53,0.00
2003-10-23,0.0,0.0,52,36,46,0.00
2003-10-24,0.0,0.0,63,37,47,0.00
2003-10-25,0.0,0.0,56,38,45,0.00
2003-10-26,0.0,0.0,59,42,48,0.00
2003-10-27,0.0,0.0,59,42,49,0.00
2003-10-28,0.0,0.0,62,46,54,0.00
2003-10-29,0.0,0.0,53,34,45,0.00
2003-10-30,0.0,0.0,34,15,24,0.00
2003-10-31,0.0,0.0,23,15,18,0.30
2003-11-01,0.2,0.3,28,13,17,0.00
2003-11-02,0.2,0.3,28,13,19,0.00
2003-11-03,0.2,0.3,29,13,19,0.20
2003-11-04,0.5,0.5,36,14,25,0.00
2003-11-05,0.5,0.5,35,20,26,0.00
2003-11-06,0.5,0.5,40,21,28,0.00
2003-11-07,0.5,0.5,36,25,28,0.00
2003-11-08,0.6,0.5,34,24,29,0.20
2003-11-09,0.7,0.7,29,21,26,1.00
2003-11-10,2.1,1.7,32,17,22,0.10
2003-11-11,2.1,1.8,34,18,25,0.10
2003-11-12,2.1,1.9,32,21,25,0.10
2003-11-13,2.1,2.0,39,24,28,0.00
2003-11-14,2.1,2.0,37,23,28,0.00
2003-11-15,2.1,2.0,28,19,25,0.20
2003-11-16,2.3,2.2,38,18,29,0.00
2003-11-17,2.3,2.2,43,30,35,0.10
2003-11-18,2.3,2.3,52,31,39,0.00
2003-11-19,2.3,2.3,50,34,40,0.00
2003-11-20,2.3,2.3,43,29,38,0.00
2003-11-21,2.3,2.3,30,10,22,0.00
2003-11-22,2.3,2.3,24,4,15,0.00
2003-11-23,2.2,2.3,43,23,33,0.00
2003-11-24,2.3,2.3,38,23,30,0.00
